"FLIR_ID_Year","FLIR_ID","site","date","year","time","survey_time","photo_type","determined_usage","water","air_temperature_c","humidity","microhabitat_type","distance_from_object_m","meter_marker","marker_number","direction","record_id","latitude.x","longitude.x","latitude.y","longitude.y","observer","FLIR_ID_Date","Notes","id","mean","median","min","max","sd","perc_5","perc_95","SHDI","hot_pixels","cold_pixels","hot_mean","cold_mean"
"FLIR1927_2023","FLIR1927","Wood Lab Pond",2023-07-03,2023,"22:26","Night","transect","good","y",21.1,88.7,NA,1.46,8,NA,"West","16411281-85e1-4643-9fca-86c123aa4c91",41.56828492,-80.45154166,41.56821749,-80.45142919,"Rachel Verdi","FLIR1927_2023-07","","FLIR1927_2023.jpg",20.5582702376975,20.566293858587,20.1948178500728,20.7595758595467,0.0733316092042327,20.4264751050428,20.6522417777412,0.419465654202221,3631,3674,20.676712832036,20.3398835591391
"FLIR1929_2023","FLIR1929","Wood Lab Pond",2023-07-03,2023,"22:26","Night","transect","good","n",21.1,88.7,NA,1.57,6,NA,"North","16411281-85e1-4643-9fca-86c123aa4c91",41.56826705,-80.45144982,41.56821749,-80.45142919,"Rachel Verdi","FLIR1929_2023-07","","FLIR1929_2023.jpg",19.9062053577781,19.9139730290906,19.4749603579247,20.2271735352243,0.0967807351852823,19.7461787590058,20.0598924396609,0.00129509241134754,3779,3752,20.1034929783575,19.6730622092581
"FLIR1931_2023","FLIR1931","Wood Lab Pond",2023-07-03,2023,"22:26","Night","transect","good","y",21.1,88.7,NA,1.53,6,NA,"South","16411281-85e1-4643-9fca-86c123aa4c91",41.56826924,-80.45152228,41.56821749,-80.45142919,"Rachel Verdi","FLIR1931_2023-07","","FLIR1931_2023.jpg",20.0512477676788,20.054491725046,19.5509742458771,20.3403381274432,0.0891003052423513,19.9139730290906,20.1840303522275,0,3813,3645,20.2149406279767,19.8608081340865
"FLIR1933_2023","FLIR1933","Wood Lab Pond",2023-07-03,2023,"22:27","Night","transect","good","y",21.1,88.7,NA,1.55,6,NA,"East","16411281-85e1-4643-9fca-86c123aa4c91",41.56823978,-80.45152937,41.56821749,-80.45142919,"Rachel Verdi","FLIR1933_2023-07","","FLIR1933_2023.jpg",19.5253576109458,19.5292617766989,19.1975717237584,19.7840918794924,0.0761439151411823,19.3934539189888,19.6486231843767,0.636423876606221,3654,3649,19.6741023613932,19.3337685818613
"FLIR1935_2023","FLIR1935","Wood Lab Pond",2023-07-03,2023,"22:27","Night","transect","good","y",21.1,88.7,NA,1.52,6,NA,"West","16411281-85e1-4643-9fca-86c123aa4c91",41.56823782,-80.45153853,41.56821749,-80.45142919,"Rachel Verdi","FLIR1935_2023-07","","FLIR1935_2023.jpg",20.2576542473409,20.2702985754242,19.9464175526246,20.4748954309204,0.0792150051260712,20.1030879065607,20.3726479619181,0,3127,3521,20.3974255204759,20.0659195483958
"FLIR1939_2023","FLIR1939","Wood Lab Pond",2023-07-03,2023,"22:28","Night","transect","good","n",21.1,88.7,NA,1.35,4,NA,"North","16411281-85e1-4643-9fca-86c123aa4c91",41.5682307,-80.45146605,41.56821749,-80.45142919,"Rachel Verdi","FLIR1939_2023-07","","FLIR1939_2023.jpg",19.6574246002425,19.6648889234413,19.3282017539528,19.9410108466399,0.0723964146132564,19.5292617766989,19.7624289625178,0.110061200494494,3290,3556,19.7941841886433,19.4876478960912
"FLIR1941_2023","FLIR1941","Wood Lab Pond",2023-07-03,2023,"22:29","Night","transect","good","y",21.1,88.7,NA,1.48,4,NA,"South","16411281-85e1-4643-9fca-86c123aa4c91",41.56821993,-80.45150624,41.56821749,-80.45142919,"Rachel Verdi","FLIR1941_2023-07","","FLIR1941_2023.jpg",20.5002153854464,20.5071629784448,20.0922907475638,20.7005559594559,0.0642804521197708,20.3995650597975,20.5931602966701,0.690877873122401,3483,3805,20.6129540199387,20.3406849214266
"FLIR1943_2023","FLIR1943","Wood Lab Pond",2023-07-03,2023,"22:29","Night","transect","good","y",21.1,88.7,NA,1.49,4,NA,"East","16411281-85e1-4643-9fca-86c123aa4c91",41.56821376,-80.45152849,41.56821749,-80.45142919,"Rachel Verdi","FLIR1943_2023-07","","FLIR1943_2023.jpg",19.6850245623645,19.6811520702633,19.3771447991834,19.9680415196036,0.092274861665093,19.5401185893839,19.8382290841872,0.0804308844882859,3790,3572,19.8664153701666,19.5047423037006
"FLIR1945_2023","FLIR1945","Wood Lab Pond",2023-07-03,2023,"22:30","Night","transect","good","y",21.1,88.7,NA,1.52,4,NA,"West","16411281-85e1-4643-9fca-86c123aa4c91",41.56822369,-80.45156873,41.56821749,-80.45142919,"Rachel Verdi","FLIR1945_2023-07","","FLIR1945_2023.jpg",20.0632902130669,20.0652928694515,19.6865725433565,20.3618791468291,0.110604774140152,19.8652869356878,20.2271735352243,0,3828,3611,20.2585872091006,19.8169142200978
"FLIR1947_2023","FLIR1947","Wood Lab Pond",2023-07-03,2023,"22:30","Night","transect","good","n",21.1,88.7,NA,1.52,2,NA,"North","16411281-85e1-4643-9fca-86c123aa4c91",41.56820302,-80.45155847,41.56821749,-80.45142919,"Rachel Verdi","FLIR1947_2023-07","","FLIR1947_2023.jpg",19.8481569159935,19.8436412275436,19.5889599437323,20.1246788111823,0.0736794785144179,19.729925969216,19.9734467973267,0,3811,3687,20.0059502658266,19.696029211797
