"FLIR_ID_Date","photo_type","date","site"
"FLIR1963_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1965_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1967_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1969_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1971_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1973_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1975_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1977_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1979_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1981_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1983_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1985_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1987_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1991_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1993_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1995_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1997_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1999_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR2001_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR2003_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR2005_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR2007_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR2009_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR2011_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR2013_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR2015_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1823_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1825_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1827_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1829_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1831_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1833_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1835_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1837_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1841_2024-06","transect",2024-06-11,"RV Pond"
"FLIR1843_2024-06","transect",2024-06-11,"RV Pond"
